ts,strategy,strategy_version,config_version,feature_version,mode,asset,market_id,window,direction,elapsed,remaining_sec,reference_price,current_price,move_pct,entry_price,bid,ask,spread,depth_usd,imbalance,confidence,regime,entry_bucket,move_bucket,elapsed_bucket,decision,decision_reason,risk_gate,size_requested,size_granted,execution_state,execution_quality,filled_shares,remaining_shares,average_fill_price,slippage,resolution,hypothetical_pnl,realized_pnl,bankroll,exposure,open_positions,meta
2026-08-31T08:26:37.174108+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995584,15m,DOWN,0.7746,202.8,1.3718,1.3679,-0.2843,0.5,0.49,0.5,0.01,33.47,-0.097,0.818,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.284% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.775}
2026-08-31T08:26:37.174108+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,BTC,3995591,15m,DOWN,0.7746,202.8,78146.51,78053.44,-0.1191,0.51,0.5,0.51,0.01,1006.19,-0.9202,0.768,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,48.04,,1000.0,50.0,1,{"reason": "движение -0.119% ≥ 0.10%; вход 0.510"; "required_move": 0.001; "elapsed": 0.775}
2026-08-31T08:26:37.174108+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,ETH,3995593,15m,DOWN,0.7746,202.8,2440.17,2435.23,-0.2024,0.5,0.49,0.5,0.01,117.02,-0.6001,0.793,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.202% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.775}
2026-08-31T08:26:52.174228+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995594,15m,DOWN,0.7913,187.8,102.765,102.61,-0.1508,0.54,0.46,0.54,0.08,37.57,-0.8097,0.783,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,LOSS,-50.0,,1000.0,50.0,1,{"reason": "движение -0.151% ≥ 0.10%; вход 0.540"; "required_move": 0.001; "elapsed": 0.791}
2026-08-31T08:26:52.174228+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995584,15m,DOWN,0.7913,187.8,1.3718,1.367,-0.3499,0.5,0.49,0.5,0.01,33.47,-0.097,0.842,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.350% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.791}
2026-08-31T08:26:52.174228+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,BTC,3995591,15m,DOWN,0.7913,187.8,78146.51,78015.06,-0.1682,0.51,0.5,0.51,0.01,1006.19,-0.9202,0.788,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,48.04,,1000.0,50.0,1,{"reason": "движение -0.168% ≥ 0.10%; вход 0.510"; "required_move": 0.001; "elapsed": 0.791}
2026-08-31T08:26:52.174228+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,ETH,3995593,15m,DOWN,0.7913,187.8,2440.17,2434.33,-0.2393,0.5,0.49,0.5,0.01,117.02,-0.6001,0.809,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.239% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.791}
2026-08-31T08:27:07.174340+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995594,15m,DOWN,0.808,172.8,102.765,102.6,-0.1606,0.54,0.46,0.54,0.08,37.57,-0.8097,0.791,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,LOSS,-50.0,,1000.0,50.0,1,{"reason": "движение -0.161% ≥ 0.10%; вход 0.540"; "required_move": 0.001; "elapsed": 0.808}
2026-08-31T08:27:07.174340+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995584,15m,DOWN,0.808,172.8,1.3718,1.3663,-0.4009,0.5,0.49,0.5,0.01,33.47,-0.097,0.863,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.401% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.808}
2026-08-31T08:27:07.174340+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,BTC,3995591,15m,DOWN,0.808,172.8,78146.51,78015.07,-0.1682,0.51,0.5,0.51,0.01,1006.19,-0.9202,0.793,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,48.04,,1000.0,50.0,1,{"reason": "движение -0.168% ≥ 0.10%; вход 0.510"; "required_move": 0.001; "elapsed": 0.808}
