event_id,asset,market_id,window,source_time,observation_time,market_time,reaction_time,observed_diff_ms,move_pct,poll_interval_ms,quality,note,collector_version
3949829@1787994379,ETH,3949829,15m,2026-08-29T09:06:19.066055593Z,2026-08-29T09:06:19.152922+00:00,1787994379667,,601,,15000,LOW,observed timing difference; causality not established,0.1.0
3949830@1787994379,SOL,3949830,15m,2026-08-29T09:06:18.458947519Z,2026-08-29T09:06:19.152922+00:00,1787994380032,,1573,,15000,LOW,observed timing difference; causality not established,0.1.0
3949838@1787994379,BTC,3949838,15m,2026-08-29T09:06:18.594511011Z,2026-08-29T09:06:19.152922+00:00,1787994380423,,1828,,15000,LOW,observed timing difference; causality not established,0.1.0
3949827@1787994379,XRP,3949827,15m,2026-08-29T09:06:17.202754268Z,2026-08-29T09:06:19.152922+00:00,1787994380752,,3549,,15000,LOW,observed timing difference; causality not established,0.1.0
3949827@1787994394,XRP,3949827,15m,2026-08-29T09:06:33.209853249Z,2026-08-29T09:06:34.153044+00:00,1787994394544,,1334,,15000,LOW,observed timing difference; causality not established,0.1.0
3949830@1787994394,SOL,3949830,15m,2026-08-29T09:06:30.821475110Z,2026-08-29T09:06:34.153044+00:00,1787994394980,,4159,,15000,LOW,observed timing difference; causality not established,0.1.0
3949829@1787994394,ETH,3949829,15m,2026-08-29T09:06:24.235487050Z,2026-08-29T09:06:34.153044+00:00,1787994395321,,11086,,15000,LOW,observed timing difference; causality not established,0.1.0
3949838@1787994394,BTC,3949838,15m,2026-08-29T09:06:33.620384996Z,2026-08-29T09:06:34.153044+00:00,1787994395618,,1998,,15000,LOW,observed timing difference; causality not established,0.1.0
3949827@1787994409,XRP,3949827,15m,2026-08-29T09:06:47.070943472Z,2026-08-29T09:06:49.153167+00:00,1787994409804,,2733,,15000,LOW,observed timing difference; causality not established,0.1.0
3949829@1787994409,ETH,3949829,15m,2026-08-29T09:06:45.427679288Z,2026-08-29T09:06:49.153167+00:00,1787994410136,,4708,,15000,LOW,observed timing difference; causality not established,0.1.0
3949830@1787994409,SOL,3949830,15m,2026-08-29T09:06:39.498632779Z,2026-08-29T09:06:49.153167+00:00,1787994410448,,10949,,15000,LOW,observed timing difference; causality not established,0.1.0
3949838@1787994409,BTC,3949838,15m,2026-08-29T09:06:48.844071896Z,2026-08-29T09:06:49.153167+00:00,1787994410765,,1921,,15000,LOW,observed timing difference; causality not established,0.1.0
3949858@1787994424,XRP,3949858,5m,2026-08-29T09:07:03.516449246Z,2026-08-29T09:07:04.153302+00:00,1787994424698,,1182,,15000,LOW,observed timing difference; causality not established,0.1.0
3949860@1787994424,BTC,3949860,5m,2026-08-29T09:07:03.586307868Z,2026-08-29T09:07:04.153302+00:00,1787994425196,,1610,,15000,LOW,observed timing difference; causality not established,0.1.0
3949865@1787994424,ETH,3949865,5m,2026-08-29T09:07:03.458780597Z,2026-08-29T09:07:04.153302+00:00,1787994425594,,2135,,15000,LOW,observed timing difference; causality not established,0.1.0
3949864@1787994424,SOL,3949864,5m,2026-08-29T09:07:02.930326463Z,2026-08-29T09:07:04.153302+00:00,1787994426026,,3096,,15000,LOW,observed timing difference; causality not established,0.1.0
3949827@1787994424,XRP,3949827,15m,2026-08-29T09:07:03.516449246Z,2026-08-29T09:07:04.153302+00:00,1787994426317,,2801,,15000,LOW,observed timing difference; causality not established,0.1.0
3949830@1787994424,SOL,3949830,15m,2026-08-29T09:07:02.930326463Z,2026-08-29T09:07:04.153302+00:00,1787994426674,,3744,,15000,LOW,observed timing difference; causality not established,0.1.0
3949838@1787994424,BTC,3949838,15m,2026-08-29T09:07:03.586307868Z,2026-08-29T09:07:04.153302+00:00,1787994427019,,3433,,15000,LOW,observed timing difference; causality not established,0.1.0
3949829@1787994424,ETH,3949829,15m,2026-08-29T09:07:03.458780597Z,2026-08-29T09:07:04.153302+00:00,1787994427345,,3886,,15000,LOW,observed timing difference; causality not established,0.1.0
3949858@1787994439,XRP,3949858,5m,2026-08-29T09:07:12.767477177Z,2026-08-29T09:07:19.153423+00:00,1787994439710,,6943,,15000,LOW,observed timing difference; causality not established,0.1.0
3949860@1787994439,BTC,3949860,5m,2026-08-29T09:07:17.671666118Z,2026-08-29T09:07:19.153423+00:00,1787994440128,,2456,,15000,LOW,observed timing difference; causality not established,0.1.0
3949865@1787994439,ETH,3949865,5m,2026-08-29T09:07:15.485844886Z,2026-08-29T09:07:19.153423+00:00,1787994440255,,4769,,15000,LOW,observed timing difference; causality not established,0.1.0
3949864@1787994439,SOL,3949864,5m,2026-08-29T09:07:14.758892739Z,2026-08-29T09:07:19.153423+00:00,1787994440939,,6180,,15000,LOW,observed timing difference; causality not established,0.1.0
3949827@1787994439,XRP,3949827,15m,2026-08-29T09:07:12.767477177Z,2026-08-29T09:07:19.153423+00:00,1787994441213,,8446,,15000,LOW,observed timing difference; causality not established,0.1.0
3949830@1787994439,SOL,3949830,15m,2026-08-29T09:07:14.758892739Z,2026-08-29T09:07:19.153423+00:00,1787994441494,,6735,,15000,LOW,observed timing difference; causality not established,0.1.0
3949838@1787994439,BTC,3949838,15m,2026-08-29T09:07:17.671666118Z,2026-08-29T09:07:19.153423+00:00,1787994441891,,4219,,15000,LOW,observed timing difference; causality not established,0.1.0
3949829@1787994439,ETH,3949829,15m,2026-08-29T09:07:15.485844886Z,2026-08-29T09:07:19.153423+00:00,1787994442219,,6733,,15000,LOW,observed timing difference; causality not established,0.1.0
